quantity,booking_id,ticket_id
86,1,1
41,2,2
64,3,3
98,4,4
72,5,5
50,6,6
45,7,7
17,8,8
81,9,9
47,10,10
52,11,11
57,12,12
71,13,13
70,14,14
53,15,15
41,16,16
50,17,17
74,18,18
73,19,19
21,20,20
49,21,21
21,22,22
54,23,23
23,24,24
51,25,25
61,26,26
27,27,27
45,28,28
31,29,29
1,30,30
48,31,31
59,32,32
34,33,33
14,34,34
77,35,35
77,36,36
56,37,37
2,38,38
47,39,39
3,40,40
57,41,41
59,42,42
49,43,43
72,44,44
12,45,45
24,46,46
32,47,47
27,48,48
27,49,49
23,50,50
75,51,51
86,52,52
84,53,53
64,54,54
87,55,55
6,56,56
66,57,57
88,58,58
85,59,59
24,60,60
93,61,61
91,62,62
53,63,63
8,64,64
99,65,65
1,66,66
20,67,67
60,68,68
9,69,69
3,70,70
57,71,71
75,72,72
14,73,73
43,74,74
95,75,75
54,76,76
20,77,77
83,78,78
48,79,79
77,80,80
87,81,81
88,82,82
36,83,83
29,84,84
45,85,85
31,86,86
79,87,87
20,88,88
89,89,89
36,90,90
84,91,91
88,92,92
93,93,93
47,94,94
99,95,95
45,96,96
8,97,97
15,98,98
4,99,99
29,100,100
39,101,101
71,102,102
98,103,103
1,104,104
81,105,105
5,106,106
63,107,107
93,108,108
17,109,109
80,110,110
29,111,111
83,112,112
58,113,113
16,114,114
2,115,115
82,116,116
93,117,117
18,118,118
18,119,119
80,120,120
79,121,121
84,122,122
16,123,123
25,124,124
97,125,125
15,126,126
7,127,127
90,128,128
6,129,129
83,130,130
85,131,131
67,132,132
77,133,133
97,134,134
83,135,135
90,136,136
1,137,137
26,138,138
36,139,139
62,140,140
60,141,141
24,142,142
54,143,143
93,144,144
35,145,145
55,146,146
54,147,147
42,148,148
1,149,149
62,150,150
50,151,151
21,152,152
35,153,153
12,154,154
92,155,155
91,156,156
82,157,157
44,158,158
26,159,159
50,160,160
12,161,161
4,162,162
54,163,163
18,164,164
42,165,165
38,166,166
62,167,167
58,168,168
1,169,169
88,170,170
88,171,171
64,172,172
7,173,173
84,174,174
68,175,175
89,176,176
9,177,177
29,178,178
28,179,179
49,180,180
89,181,181
21,182,182
65,183,183
20,184,184
43,185,185
52,186,186
75,187,187
83,188,188
67,189,189
4,190,190
72,191,191
37,192,192
78,193,193
90,194,194
15,195,195
87,196,196
38,197,197
59,198,198
11,199,199
67,200,200
91,201,201
89,202,202
12,203,203
64,204,204
32,205,205
83,206,206
15,207,207
86,208,208
95,209,209
3,210,210
40,211,211
41,212,212
69,213,213
85,214,214
82,215,215
88,216,216
38,217,217
75,218,218
5,219,219
55,220,220
23,221,221
3,222,222
83,223,223
8,224,224
85,225,225
7,226,226
25,227,227
49,228,228
82,229,229
15,230,230
8,231,231
50,232,232
78,233,233
37,234,234
75,235,235
68,236,236
3,237,237
36,238,238
83,239,239
94,240,240
83,241,241
24,242,242
9,243,243
86,244,244
84,245,245
89,246,246
86,247,247
14,248,248
67,249,249
55,250,250
25,251,251
62,252,252
83,253,253
28,254,254
23,255,255
59,256,256
51,257,257
14,258,258
69,259,259
78,260,260
6,261,261
20,262,262
99,263,263
16,264,264
2,265,265
1,266,266
45,267,267
69,268,268
71,269,269
60,270,270
25,271,271
15,272,272
59,273,273
9,274,274
12,275,275
41,276,276
81,277,277
96,278,278
97,279,279
57,280,280
83,281,281
16,282,282
40,283,283
46,284,284
20,285,285
32,286,286
82,287,287
53,288,288
1,289,289
96,290,290
56,291,291
69,292,292
85,293,293
20,294,294
40,295,295
93,296,296
55,297,297
12,298,298
60,299,299
80,300,300
54,301,301
78,302,302
61,303,303
37,304,304
23,305,305
62,306,306
25,307,307
5,308,308
85,309,309
59,310,310
67,311,311
26,312,312
69,313,313
88,314,314
48,315,315
10,316,316
38,317,317
53,318,318
22,319,319
99,320,320
85,321,321
89,322,322
94,323,323
13,324,324
48,325,325
96,326,326
18,327,327
5,328,328
63,329,329
16,330,330
9,331,331
92,332,332
51,333,333
17,334,334
48,335,335
42,336,336
63,337,337
9,338,338
57,339,339
56,340,340
11,341,341
52,342,342
3,343,343
2,344,344
38,345,345
95,346,346
40,347,347
30,348,348
9,349,349
35,350,350
70,351,351
41,352,352
29,353,353
97,354,354
43,355,355
76,356,356
62,357,357
26,358,358
89,359,359
38,360,360
60,361,361
49,362,362
18,363,363
56,364,364
81,365,365
39,366,366
57,367,367
58,368,368
29,369,369
82,370,370
37,371,371
65,372,372
30,373,373
22,374,374
32,375,375
22,376,376
59,377,377
78,378,378
65,379,379
98,380,380
19,381,381
89,382,382
47,383,383
40,384,384
53,385,385
22,386,386
12,387,387
12,388,388
74,389,389
66,390,390
63,391,391
85,392,392
66,393,393
10,394,394
31,395,395
58,396,396
3,397,397
61,398,398
57,399,399
32,400,400
7,401,401
99,402,402
73,403,403
98,404,404
90,405,405
20,406,406
19,407,407
39,408,408
72,409,409
84,410,410
50,411,411
51,412,412
33,413,413
5,414,414
91,415,415
67,416,416
92,417,417
46,418,418
28,419,419
74,420,420
70,421,421
7,422,422
75,423,423
65,424,424
1,425,425
48,426,426
29,427,427
48,428,428
71,429,429
75,430,430
100,431,431
65,432,432
4,433,433
95,434,434
43,435,435
64,436,436
38,437,437
29,438,438
41,439,439
53,440,440
67,441,441
78,442,442
7,443,443
49,444,444
19,445,445
25,446,446
93,447,447
30,448,448
50,449,449
41,450,450
95,451,451
82,452,452
13,453,453
75,454,454
33,455,455
42,456,456
82,457,457
5,458,458
84,459,459
17,460,460
89,461,461
56,462,462
75,463,463
9,464,464
1,465,465
40,466,466
61,467,467
58,468,468
19,469,469
11,470,470
52,471,471
88,472,472
74,473,473
89,474,474
57,475,475
13,476,476
15,477,477
29,478,478
76,479,479
28,480,480
76,481,481
98,482,482
43,483,483
81,484,484
18,485,485
30,486,486
45,487,487
58,488,488
67,489,489
63,490,490
70,491,491
48,492,492
84,493,493
81,494,494
57,495,495
90,496,496
61,497,497
35,498,498
93,499,499
62,500,500
