quantity,booking_id,ticket_id
2,1,1
3,2,2
4,3,3
5,4,4
1,5,5
2,6,6
3,7,7
4,8,8
5,9,9
1,10,10
2,11,11
3,12,12
4,13,13
5,14,14
1,15,15
2,16,16
3,17,17
4,18,18
5,19,19
1,20,20
2,21,21
3,22,22
4,23,23
5,24,24
1,25,25
2,26,26
3,27,27
4,28,28
5,29,29
1,30,30
2,31,31
3,32,32
4,33,33
5,34,34
1,35,35
2,36,36
3,37,37
4,38,38
5,39,39
1,40,40
2,41,41
3,42,42
4,43,43
5,44,44
1,45,45
2,46,46
3,47,47
4,48,48
5,49,49
1,50,50
2,51,51
3,52,52
4,53,53
5,54,54
1,55,55
2,56,56
3,57,57
4,58,58
5,59,59
1,60,60
2,61,61
3,62,62
4,63,63
5,64,64
1,65,65
2,66,66
3,67,67
4,68,68
5,69,69
1,70,70
2,71,71
3,72,72
4,73,73
5,74,74
1,75,75
2,76,76
3,77,77
4,78,78
5,79,79
1,80,80
2,81,81
3,82,82
4,83,83
5,84,84
1,85,85
2,86,86
3,87,87
4,88,88
5,89,89
1,90,90
2,91,91
3,92,92
4,93,93
5,94,94
1,95,95
2,96,96
3,97,97
4,98,98
5,99,99
1,100,100
2,101,101
3,102,102
4,103,103
5,104,104
1,105,105
2,106,106
3,107,107
4,108,108
5,109,109
1,110,110
2,111,111
3,112,112
4,113,113
5,114,114
1,115,115
2,116,116
3,117,117
4,118,118
5,119,119
1,120,120
2,121,121
3,122,122
4,123,123
5,124,124
1,125,125
2,126,126
3,127,127
4,128,128
5,129,129
1,130,130
2,131,131
3,132,132
4,133,133
5,134,134
1,135,135
2,136,136
3,137,137
4,138,138
5,139,139
1,140,140
2,141,141
3,142,142
4,143,143
5,144,144
1,145,145
2,146,146
3,147,147
4,148,148
5,149,149
1,150,150
2,151,151
3,152,152
4,153,153
5,154,154
1,155,155
2,156,156
3,157,157
4,158,158
5,159,159
1,160,160
2,161,161
3,162,162
4,163,163
5,164,164
1,165,165
2,166,166
3,167,167
4,168,168
5,169,169
1,170,170
2,171,171
3,172,172
4,173,173
5,174,174
1,175,175
2,176,176
3,177,177
4,178,178
5,179,179
1,180,180
2,181,181
3,182,182
4,183,183
5,184,184
1,185,185
2,186,186
3,187,187
4,188,188
5,189,189
1,190,190
2,191,191
3,192,192
4,193,193
5,194,194
1,195,195
2,196,196
3,197,197
4,198,198
5,199,199
1,200,200
2,201,201
3,202,202
4,203,203
5,204,204
1,205,205
2,206,206
3,207,207
4,208,208
5,209,209
1,210,210
2,211,211
3,212,212
4,213,213
5,214,214
1,215,215
2,216,216
3,217,217
4,218,218
5,219,219
1,220,220
2,221,221
3,222,222
4,223,223
5,224,224
1,225,225
2,226,226
3,227,227
4,228,228
5,229,229
1,230,230
2,231,231
3,232,232
4,233,233
5,234,234
1,235,235
2,236,236
3,237,237
4,238,238
5,239,239
1,240,240
2,241,241
3,242,242
4,243,243
5,244,244
1,245,245
2,246,246
3,247,247
4,248,248
5,249,249
1,250,250
2,251,251
3,252,252
4,253,253
5,254,254
1,255,255
2,256,256
3,257,257
4,258,258
5,259,259
1,260,260
2,261,261
3,262,262
4,263,263
5,264,264
1,265,265
2,266,266
3,267,267
4,268,268
5,269,269
1,270,270
2,271,271
3,272,272
4,273,273
5,274,274
1,275,275
2,276,276
3,277,277
4,278,278
5,279,279
1,280,280
2,281,281
3,282,282
4,283,283
5,284,284
1,285,285
2,286,286
3,287,287
4,288,288
5,289,289
1,290,290
2,291,291
3,292,292
4,293,293
5,294,294
1,295,295
2,296,296
3,297,297
4,298,298
5,299,299
1,300,300
2,301,301
3,302,302
4,303,303
5,304,304
1,305,305
2,306,306
3,307,307
4,308,308
5,309,309
1,310,310
2,311,311
3,312,312
4,313,313
5,314,314
1,315,315
2,316,316
3,317,317
4,318,318
5,319,319
1,320,320
2,321,321
3,322,322
4,323,323
5,324,324
1,325,325
2,326,326
3,327,327
4,328,328
5,329,329
1,330,330
2,331,331
3,332,332
4,333,333
5,334,334
1,335,335
2,336,336
3,337,337
4,338,338
5,339,339
1,340,340
2,341,341
3,342,342
4,343,343
5,344,344
1,345,345
2,346,346
3,347,347
4,348,348
5,349,349
1,350,350
2,351,351
3,352,352
4,353,353
5,354,354
1,355,355
2,356,356
3,357,357
4,358,358
5,359,359
1,360,360
2,361,361
3,362,362
4,363,363
5,364,364
1,365,365
2,366,366
3,367,367
4,368,368
5,369,369
1,370,370
2,371,371
3,372,372
4,373,373
5,374,374
1,375,375
2,376,376
3,377,377
4,378,378
5,379,379
1,380,380
2,381,381
3,382,382
4,383,383
5,384,384
1,385,385
2,386,386
3,387,387
4,388,388
5,389,389
1,390,390
2,391,391
3,392,392
4,393,393
5,394,394
1,395,395
2,396,396
3,397,397
4,398,398
5,399,399
1,400,400
2,401,401
3,402,402
4,403,403
5,404,404
1,405,405
2,406,406
3,407,407
4,408,408
5,409,409
1,410,410
2,411,411
3,412,412
4,413,413
5,414,414
1,415,415
2,416,416
3,417,417
4,418,418
5,419,419
1,420,420
2,421,421
3,422,422
4,423,423
5,424,424
1,425,425
2,426,426
3,427,427
4,428,428
5,429,429
1,430,430
2,431,431
3,432,432
4,433,433
5,434,434
1,435,435
2,436,436
3,437,437
4,438,438
5,439,439
1,440,440
2,441,441
3,442,442
4,443,443
5,444,444
1,445,445
2,446,446
3,447,447
4,448,448
5,449,449
1,450,450
2,451,451
3,452,452
4,453,453
5,454,454
1,455,455
2,456,456
3,457,457
4,458,458
5,459,459
1,460,460
2,461,461
3,462,462
4,463,463
5,464,464
1,465,465
2,466,466
3,467,467
4,468,468
5,469,469
1,470,470
2,471,471
3,472,472
4,473,473
5,474,474
1,475,475
2,476,476
3,477,477
4,478,478
5,479,479
1,480,480
2,481,481
3,482,482
4,483,483
5,484,484
1,485,485
2,486,486
3,487,487
4,488,488
5,489,489
1,490,490
2,491,491
3,492,492
4,493,493
5,494,494
1,495,495
2,496,496
3,497,497
4,498,498
5,499,499
1,500,500
